model,true_label,predicted_label,count
deepseek_deepseek_v3_2_sentiment,Negative,Negative,153
deepseek_deepseek_v3_2_sentiment,Negative,Neutral,59
deepseek_deepseek_v3_2_sentiment,Negative,Positive,10
deepseek_deepseek_v3_2_sentiment,Negative,Postitive,0
deepseek_deepseek_v3_2_sentiment,Neutral,Negative,13
deepseek_deepseek_v3_2_sentiment,Neutral,Neutral,81
deepseek_deepseek_v3_2_sentiment,Neutral,Positive,11
deepseek_deepseek_v3_2_sentiment,Neutral,Postitive,0
deepseek_deepseek_v3_2_sentiment,Positive,Negative,7
deepseek_deepseek_v3_2_sentiment,Positive,Neutral,27
deepseek_deepseek_v3_2_sentiment,Positive,Positive,137
deepseek_deepseek_v3_2_sentiment,Positive,Postitive,0
deepseek_deepseek_v3_2_sentiment,Postitive,Negative,0
deepseek_deepseek_v3_2_sentiment,Postitive,Neutral,0
deepseek_deepseek_v3_2_sentiment,Postitive,Positive,1
deepseek_deepseek_v3_2_sentiment,Postitive,Postitive,0
openai_gpt_5_4_nano_sentiment,Negative,Negative,169
openai_gpt_5_4_nano_sentiment,Negative,Neutral,35
openai_gpt_5_4_nano_sentiment,Negative,Positive,18
openai_gpt_5_4_nano_sentiment,Negative,Postitive,0
openai_gpt_5_4_nano_sentiment,Neutral,Negative,26
openai_gpt_5_4_nano_sentiment,Neutral,Neutral,63
openai_gpt_5_4_nano_sentiment,Neutral,Positive,15
openai_gpt_5_4_nano_sentiment,Neutral,Postitive,0
openai_gpt_5_4_nano_sentiment,Positive,Negative,15
openai_gpt_5_4_nano_sentiment,Positive,Neutral,13
openai_gpt_5_4_nano_sentiment,Positive,Positive,143
openai_gpt_5_4_nano_sentiment,Positive,Postitive,0
openai_gpt_5_4_nano_sentiment,Postitive,Negative,0
openai_gpt_5_4_nano_sentiment,Postitive,Neutral,0
openai_gpt_5_4_nano_sentiment,Postitive,Positive,1
openai_gpt_5_4_nano_sentiment,Postitive,Postitive,0
google_gemma_4_26b_a4b_it_sentiment,Negative,Negative,188
google_gemma_4_26b_a4b_it_sentiment,Negative,Neutral,25
google_gemma_4_26b_a4b_it_sentiment,Negative,Positive,9
google_gemma_4_26b_a4b_it_sentiment,Negative,Postitive,0
google_gemma_4_26b_a4b_it_sentiment,Neutral,Negative,21
google_gemma_4_26b_a4b_it_sentiment,Neutral,Neutral,73
google_gemma_4_26b_a4b_it_sentiment,Neutral,Positive,11
google_gemma_4_26b_a4b_it_sentiment,Neutral,Postitive,0
google_gemma_4_26b_a4b_it_sentiment,Positive,Negative,8
google_gemma_4_26b_a4b_it_sentiment,Positive,Neutral,20
google_gemma_4_26b_a4b_it_sentiment,Positive,Positive,143
google_gemma_4_26b_a4b_it_sentiment,Positive,Postitive,0
google_gemma_4_26b_a4b_it_sentiment,Postitive,Negative,0
google_gemma_4_26b_a4b_it_sentiment,Postitive,Neutral,0
google_gemma_4_26b_a4b_it_sentiment,Postitive,Positive,1
google_gemma_4_26b_a4b_it_sentiment,Postitive,Postitive,0
anthropic_claude_3_5_haiku_sentiment,Negative,Negative,140
anthropic_claude_3_5_haiku_sentiment,Negative,Neutral,75
anthropic_claude_3_5_haiku_sentiment,Negative,Positive,7
anthropic_claude_3_5_haiku_sentiment,Negative,Postitive,0
anthropic_claude_3_5_haiku_sentiment,Neutral,Negative,10
anthropic_claude_3_5_haiku_sentiment,Neutral,Neutral,93
anthropic_claude_3_5_haiku_sentiment,Neutral,Positive,2
anthropic_claude_3_5_haiku_sentiment,Neutral,Postitive,0
anthropic_claude_3_5_haiku_sentiment,Positive,Negative,7
anthropic_claude_3_5_haiku_sentiment,Positive,Neutral,46
anthropic_claude_3_5_haiku_sentiment,Positive,Positive,118
anthropic_claude_3_5_haiku_sentiment,Positive,Postitive,0
anthropic_claude_3_5_haiku_sentiment,Postitive,Negative,0
anthropic_claude_3_5_haiku_sentiment,Postitive,Neutral,0
anthropic_claude_3_5_haiku_sentiment,Postitive,Positive,1
anthropic_claude_3_5_haiku_sentiment,Postitive,Postitive,0
x_ai_grok_4_20_multi_agent_sentiment,Negative,Negative,106
x_ai_grok_4_20_multi_agent_sentiment,Negative,Neutral,10
x_ai_grok_4_20_multi_agent_sentiment,Negative,Positive,106
x_ai_grok_4_20_multi_agent_sentiment,Negative,Postitive,0
x_ai_grok_4_20_multi_agent_sentiment,Neutral,Negative,17
x_ai_grok_4_20_multi_agent_sentiment,Neutral,Neutral,35
x_ai_grok_4_20_multi_agent_sentiment,Neutral,Positive,51
x_ai_grok_4_20_multi_agent_sentiment,Neutral,Postitive,0
x_ai_grok_4_20_multi_agent_sentiment,Positive,Negative,5
x_ai_grok_4_20_multi_agent_sentiment,Positive,Neutral,5
x_ai_grok_4_20_multi_agent_sentiment,Positive,Positive,161
x_ai_grok_4_20_multi_agent_sentiment,Positive,Postitive,0
x_ai_grok_4_20_multi_agent_sentiment,Postitive,Negative,0
x_ai_grok_4_20_multi_agent_sentiment,Postitive,Neutral,0
x_ai_grok_4_20_multi_agent_sentiment,Postitive,Positive,1
x_ai_grok_4_20_multi_agent_sentiment,Postitive,Postitive,0
mistralai_mistral_small_2603_sentiment,Negative,Negative,187
mistralai_mistral_small_2603_sentiment,Negative,Neutral,18
mistralai_mistral_small_2603_sentiment,Negative,Positive,17
mistralai_mistral_small_2603_sentiment,Negative,Postitive,0
mistralai_mistral_small_2603_sentiment,Neutral,Negative,37
mistralai_mistral_small_2603_sentiment,Neutral,Neutral,51
mistralai_mistral_small_2603_sentiment,Neutral,Positive,17
mistralai_mistral_small_2603_sentiment,Neutral,Postitive,0
mistralai_mistral_small_2603_sentiment,Positive,Negative,17
mistralai_mistral_small_2603_sentiment,Positive,Neutral,10
mistralai_mistral_small_2603_sentiment,Positive,Positive,144
mistralai_mistral_small_2603_sentiment,Positive,Postitive,0
mistralai_mistral_small_2603_sentiment,Postitive,Negative,0
mistralai_mistral_small_2603_sentiment,Postitive,Neutral,0
mistralai_mistral_small_2603_sentiment,Postitive,Positive,1
mistralai_mistral_small_2603_sentiment,Postitive,Postitive,0
qwen_qwen3_6_plus_sentiment,Negative,Negative,194
qwen_qwen3_6_plus_sentiment,Negative,Neutral,15
qwen_qwen3_6_plus_sentiment,Negative,Positive,13
qwen_qwen3_6_plus_sentiment,Negative,Postitive,0
qwen_qwen3_6_plus_sentiment,Neutral,Negative,24
qwen_qwen3_6_plus_sentiment,Neutral,Neutral,69
qwen_qwen3_6_plus_sentiment,Neutral,Positive,12
qwen_qwen3_6_plus_sentiment,Neutral,Postitive,0
qwen_qwen3_6_plus_sentiment,Positive,Negative,8
qwen_qwen3_6_plus_sentiment,Positive,Neutral,12
qwen_qwen3_6_plus_sentiment,Positive,Positive,151
qwen_qwen3_6_plus_sentiment,Positive,Postitive,0
qwen_qwen3_6_plus_sentiment,Postitive,Negative,0
qwen_qwen3_6_plus_sentiment,Postitive,Neutral,0
qwen_qwen3_6_plus_sentiment,Postitive,Positive,1
qwen_qwen3_6_plus_sentiment,Postitive,Postitive,0
xiaomi_mimo_v2_flash_sentiment,Negative,Negative,159
xiaomi_mimo_v2_flash_sentiment,Negative,Neutral,47
xiaomi_mimo_v2_flash_sentiment,Negative,Positive,15
xiaomi_mimo_v2_flash_sentiment,Negative,Postitive,0
xiaomi_mimo_v2_flash_sentiment,Neutral,Negative,16
xiaomi_mimo_v2_flash_sentiment,Neutral,Neutral,81
xiaomi_mimo_v2_flash_sentiment,Neutral,Positive,7
xiaomi_mimo_v2_flash_sentiment,Neutral,Postitive,0
xiaomi_mimo_v2_flash_sentiment,Positive,Negative,6
xiaomi_mimo_v2_flash_sentiment,Positive,Neutral,31
xiaomi_mimo_v2_flash_sentiment,Positive,Positive,134
xiaomi_mimo_v2_flash_sentiment,Positive,Postitive,0
xiaomi_mimo_v2_flash_sentiment,Postitive,Negative,0
xiaomi_mimo_v2_flash_sentiment,Postitive,Neutral,0
xiaomi_mimo_v2_flash_sentiment,Postitive,Positive,1
xiaomi_mimo_v2_flash_sentiment,Postitive,Postitive,0
